,review_content
12945,"['brave', 'provocative', 'thoroughly', 'compel', 'expos', 'talk', 'week']"
9002,"['flat', 'direct', 'line', 'two', 'slip', 'sound', 'like', 'want', 'elevate', 'dillinger', 'life', 'grand', 'theme', 'quickly', 'hammer']"
23931,"['man', 'godfrey', 'full', 'witty', 'dialogue', 'classical', 'direction', 'film', 'social', 'awareness', 'really', 'stand', 'today']"
3551,"['portray', 'moment', 'drama', 'danger', 'hitchcockian', 'lack', 'ceremony', 'shyamalan', 'mundane', 'depiction', 'tragedy', 'create', 'quiet', 'weighty', 'resonance']"
40447,"['light', 'originality', 'low', 'suspense']"
36543,"['mix', 'reality', 'zip', 'nicely', 'conveys', 'heady', 'atmosphere', 'almost', 'adult', 'life']"
6446,"['laughs', 'school', 'rock']"
6609,"['best', 'film', 'express', 'beat', 'plot', 'meander', 'conversation', 'around', 'dinner', 'table', 'drink', 'sidewalk', 'table', 'hotel', 'bar', 'joyous', 'genuine', 'portrait', 'community', 'see', 'movie']"
14013,"['wonder', 'polyphemus', 'production', 'simply', 'collapse', 'overweight', 'thanks', 'principally', 'showman', 'todd', 'picture', 'skip', 'along', 'amazing', 'lightness']"
32762,"['witless', 'action', 'movie']"
25047,"['character', 'corrupt', 'level', 'basic', 'amount', 'absolution', 'cleanse', 'sin']"
8623,"['filmmaker', 'hope', 'see', 'parallel', 'georgiana', 'life', 'princess', 'diana', 'somehow', 'find', 'way', 'channel', 'pain', 'good', 'sure']"
3976,"['carrey', 'scrooge', 'deliciously', 'pinch', 'credible', 'indeed', 'film', 'feel', 'like', 'dickens', 'theme', 'park', 'ride']"
49052,"['zhang', 'delicate', 'eager', 'ingenuous', 'resilient', 'performance', 'make', 'audience', 'feel', 'close', 'like', 'butterfly', 'stomach']"
35238,"['visually', 'stunning', 'time', 'stunningly', 'juvenile', 'rest']"
47772,"['heartbreaker', 'go', 'two', 'hour', 'approximately', 'two', 'hour', 'long', 'moronic', 'juvenilia', 'although', 'occasionally', 'stops', 'crotch', 'joke']"
46970,"['sprawl', 'artistic', 'superbly', 'act', 'informative', 'mainstream', 'hollywood', 'movie']"
18450,"['darling', 'empty', 'meaning', 'mind', 'empty', 'life', 'expose']"
20175,"['birth', 'slapstick']"
993,"['beautiful', 'empty', 'head', 'documentary', 'creature', 'lurk', 'sea']"
44175,"['much', 'hate', 'admit', 'numerous', 'gross', 'joke', 'actually', 'pretty', 'darn', 'funny', 'believe', 'film', 'poor', 'taste']"
9430,"['fun', 'robot', 'stuff', 'good', 'philosophical', 'idea', 'brief', 'nutty', 'willis', 'ving', 'rhames', 'reunion', 'year', 'pulp', 'fiction']"
15222,"['incline', 'may', 'want', 'see', 'fast', 'big', 'screen', 'emerge', 'cult', 'favorite', 'say', 'begin']"
16835,"['little', 'clunky', 'time', 'contemporary', 'audience', 'still', 'manage', 'truly', 'perturb']"
24876,"['get', 'back', 'groove', 'hollywood', 'thriller', 'recent', 'glut', 'spy', 'counterspy', 'funny', 'spy', 'anti', 'hero', 'spy', 'spy', 'spier', 'spy']"
49993,"['feel', 'least', 'bit', 'ashamed', 'admit', 'enjoyment', 'come', 'expense', 'see', 'justice', 'serve', 'even', 'dish', 'best', 'serve', 'cold']"
6358,"['like', 'aussie', 'equivalent', 'foot', 'fist', 'way', 'shot', 'quick', 'dirty', 'coast', 'efficiently', 'affable', 'personality', 'performer', 'character', 'sweet', 'amuse']"
39257,"['without', 'doubt', 'emotionally', 'powerful', 'handsomely', 'mount', 'production', 'story', 'yet']"
45436,"['cloverfield', 'lane', 'get', 'job', 'half', 'do']"
45687,"['absolutely', 'magical', 'much', 'like', 'heath', 'ledger', 'face']"
29455,"['standpoint', 'taste', 'photographic', 'brilliance', 'doubtful', 'whether', 'ever', 'production', 'surpass']"
36071,"['human', 'character', 'give', 'merely', 'adequate', 'back', 'seat', 'support', 'special', 'effect', 'drive', 'big', 'budget', 'thriller']"
32605,"['bridge', 'well', 'difficult', 'role']"
13054,"['helen', 'ambitious', 'film', 'grip', 'meditative', 'touch', 'intelligence']"
42042,"['enjoyable', 'minor', 'lustrously', 'shot', 'revamp', 'oscar', 'wilde', 'play', 'perpetually', 'interlocked', 'manner', 'love', 'deception']"
43568,"['emotional', 'falsehood', 'permeates', 'picture', 'least', 'young', 'actor', 'appeal']"
9265,"['banality', 'evil', 'phrase', 'one', 'hear', 'mean', 'represent', 'evil', 'cliche']"
37399,"['spite', 'length', 'hamlet', 'relevant', 'moving', 'film']"
1413,"['bad', 'guy', 'stride', 'spotless', 'corriders', 'building', 'weirdly', 'calm', 'disembodied', 'female', 'voice', 'say', 'thing', 'like', 'switch', 'emergency', 'backup', 'light', 'system', 'could', 'find', 'button', 'emergency', 'back', 'well', 'movie', 'system']"
43249,"['intriguing', 'watch']"
3826,"['spiral', 'joy', 'behold', 'every', 'level']"
32801,"['fair', 'remake', 'classic']"
30922,"['tough', 'violent', 'crime', 'drama', 'pull', 'punch']"
28571,"['film', 'cheesy', 'fun', 'entertain', 'way']"
10388,"['000', 'time', 'good', 'night', 'take', 'time', 'let', 'pathos', 'fully', 'soak', 'regular', 'film', 'festival', 'find', 'pacing', 'emotional', 'note', 'end', 'familiar']"
14608,"['drew', 'barrymore', 'boy', 'toy', 'try', 'go', 'bicoastal']"
3725,"['witty', 'lively', 'period', 'drama', 'expertly', 'blend', 'comedy', 'tragedy', 'create', 'worthy', 'french', 'counterpart', 'shakespeare', 'love']"
8432,"['kid', 'like', 'see', 'something', 'new', 'head', 'theater', 'something', 'talk', 'playground', 'remember', 'happen', 'really', 'feel', 'force', 'delivers', 'department']"
9871,"['decent', 'animate', 'horror', 'spoof', 'play', 'good', 'old', 'film', 'buff', 'youthful', 'offspring']"
17661,"['cheesy', 'cheesy', 'cheesy']"
22584,"['star', 'grace', 'cukor', 'production', 'classic']"
9171,"['easy', 'warm', 'zonca', 'film', 'central', 'character', 'impossible', 'take', 'eye', 'either', 'amoral', 'time', 'brutal', 'full', 'surprise']"
49037,"['interest', 'slightly', 'unbalanced', 'hybrid']"
5247,"['lovely', 'fun', 'love', 'aaja', 'nachle', 'key', 'right', 'tone', 'keep', 'seem', 'silly']"
23230,"['see', 'zorro', 'see', 'douglas', 'fairbanks', 'zorro', '1920', 'silent', 'swashbuckling', 'classic', 'mark', 'zorro', 'amaze', 'far', 'come']"
44417,"['certainly', 'fun', 'summer', 'popcorn', 'movie']"
33746,"['third', 'version', 'classic', 'good', 'second', '1948', 'almost', 'touch', 'cukor', 'first', 'rendition', '1933', 'toplining', 'kathatrine', 'hepburn']"
24601,"['perhaps', 'disney', 'underrated', 'work']"
39028,"['fascinate', 'exploration', 'family', 'bond', 'face', 'societal', 'prejudice']"
29486,"['fault', 'write', 'direction', 'stay', 'surface', 'never', 'get', 'underneath', 'character']"
3485,"['ten', 'may', 'funniest', 'movie', 'year', 'earnest', 'follow', 'ridiculous', 'thread', 'logical', 'extreme', 'character', 'completely', 'commit', 'reality', 'film']"
22724,"['part', 'burlesque', 'part', 'social', 'commentary', 'full', 'entertainment', 'movie', 'save', 'quick', 'money', 'facileness', 'extraordinary', 'bad', 'boy', 'comedy', 'performance', 'burt', 'reynolds', 'quirky', 'offbeat', 'direction', 'robert', 'aldrich']"
19430,"['walk', 'film', 'year', 'depress', 'experience']"
44735,"['particularly', 'dislike', 'manipulative', 'way', 'film', 'use', 'martin', 'child', 'primary', 'vehicle', 'raise', 'dramatic', 'stake']"
33362,"['want', 'spoil', 'let', 'say', 'gangster', 'get', 'want', 'true', 'love', 'save', 'day']"
40531,"['beat', 'clock', 'thriller', 'edge', 'moral', 'gravity']"
44168,"['one', 'liners', 'spot', 'character', 'lively', 'refresh', 'individual', 'eccentricity', 'road', 'trip', 'journey', 'want', 'make']"
32006,"['great', 'movie', 'sure', 'nice', 'one']"
39394,"['amuse', 'entertain', 'intrigue', 'even', 'though', 'second', 'half', 'shaky', 'film', 'make', 'seemingly', 'uncomfortable', 'transition', 'serious', 'material']"
22206,"['underrated', 'early', 'hitch', 'killer', 'finale']"
44052,"['even', 'decency', 'horrifyingly', 'funny']"
24166,"['stood', 'witness', 'spectacular', 'tragedy', 'take', 'place', 'perfectly', 'unspectacular', 'dead', 'calm', 'night']"
1407,"['kid', 'today', 'even', 'like', 'video', 'game', 'manga', 'sci', 'movie', 'clutter', 'multiplex']"
3706,"['two', 'scripters', 'let', 'imagination', 'soar', 'show', 'moliere', 'would', 'act', 'become', 'character', 'one', 'play', 'meet', 'people', 'production', 'work']"
2123,"['intelligence', 'style', 'inspire', 'art', 'gustave', 'dor', 'francisco', 'sol', 'polanski', 'make', 'reward', 'contribution', 'dickens', 'legacy', 'screen']"
10821,"['overall', 'film', 'mixed', 'bag', 'although', 'comical', 'moment', 'mostly', 'variation', 'one', 'joke', 'one', 'joke', 'entirely', 'dependent', 'caricature']"
44010,"['look', 'past', 'seamlessly', 'realistic', 'cgi', 'nothing', 'memorable', 'movie']"
7286,"['severe', 'sometimes', 'subdue', 'ultimately', 'fascinate']"
